author,title,study_type,study_duration,season,study_years,location,parameter_name,parameter_origin,parameter_unit,sample_size,parameter_lifestage,parameter_value,informationCategory,submechanism,type,name
Meyer et al. (2002),"seasonal differences in citrate synthase and digestive enzyme activity in larval and postlarval antarctic krill, euphausia superba",observation,months,autumn,1999,Lazarev Sea,Respiration rate,Net sampling,uL O2 mg-1 DM h-1,5,adult,0.2,parameter,spawning,function,maintenance _respiration
Ryabov et al. (2017),competition-induced starvation drives large-scale population cycles in antarctic krill,hybrid,years,summer,1993-2013,Western Antarctic Peninsula,Half-saturation constant for growth rate and ingestion rage,observation,mg C/m3,NA,NA,25,parameter,spawning,function,ingestion
Ryabov et al. (2017),competition-induced starvation drives large-scale population cycles in antarctic krill,hybrid,years,summer,1993-2013,Western Antarctic Peninsula,Maximal ingestion rate,observation,(% body C/d-1),NA,NA,10,parameter,spawning,function,ingestion
Ryabov et al. (2017),competition-induced starvation drives large-scale population cycles in antarctic krill,hybrid,years,summer,1993-2013,Western Antarctic Peninsula,Assimilation efficiency of consumed carbon into dry weight,observation,"mg DW /mg consumed C
Assimilation",NA,NA,1.04,parameter,spawning,function,assimilation
"Groeneveld, J. et al. (2015)",how biological clocks and changing environmental conditions determine local population growth and species distribution in antarctic krill (euphausia superba): a conceptual model,model,years,NA,NA,NA,maximumBodyLength,mechanistic model,mm,NA,adults,70,parameter,spawning,state_var,tissue_reserves_carbs
"Groeneveld, J. et al. (2015)",how biological clocks and changing environmental conditions determine local population growth and species distribution in antarctic krill (euphausia superba): a conceptual model,model,years,NA,NA,NA,maximumBodyLength,mechanistic model,mm,NA,adults,70,parameter,spawning,state_var,tissue_reserves_proteins
"Groeneveld, J. et al. (2015)",how biological clocks and changing environmental conditions determine local population growth and species distribution in antarctic krill (euphausia superba): a conceptual model,model,years,NA,NA,NA,maximumBodyLength,mechanistic model,mm,NA,adults,70,parameter,spawning,state_var,tissue_reserves_lipids
"Groeneveld, J. et al. (2015)",how biological clocks and changing environmental conditions determine local population growth and species distribution in antarctic krill (euphausia superba): a conceptual model,model,years,NA,NA,NA,minimumBodyLengthAdults,mechanistic model,mm,NA,adults,30,parameter,spawning,state_var,gonads_development
"Groeneveld, J. et al. (2015)",how biological clocks and changing environmental conditions determine local population growth and species distribution in antarctic krill (euphausia superba): a conceptual model,model,years,NA,NA,NA,spawningThreshold,mechanistic model,NA,NA,adults,0.1,parameter,spawning,state_var,gonads_development
"Groeneveld, J. et al. (2015)",how biological clocks and changing environmental conditions determine local population growth and species distribution in antarctic krill (euphausia superba): a conceptual model,model,years,NA,NA,NA,spawningThreshold,mechanistic model,NA,NA,adults,0.1,parameter,spawning,function,spawning
"nicol s., kitchener j., king r., hosie g., de la mare w.k. (2000)",population structure and condition of antarctic krill (euphausia superba) off east antarctica (80-150 °e) during the austral summer of 1995/1996,observation,months,"summer, autumn",1995-1996,Indian Sector of the SO,instantaneous growth rate,measurement,% body length per moult,22,krill males,4.3,parameter,spawning,state_var,tissue_reserves_carbs
"nicol s., kitchener j., king r., hosie g., de la mare w.k. (2000)",population structure and condition of antarctic krill (euphausia superba) off east antarctica (80-150 °e) during the austral summer of 1995/1996,observation,months,"summer, autumn",1995-1996,Indian Sector of the SO,instantaneous growth rate,measurement,% body length per moult,22,krill males,4.3,parameter,spawning,state_var,tissue_reserves_proteins
"nicol s., kitchener j., king r., hosie g., de la mare w.k. (2000)",population structure and condition of antarctic krill (euphausia superba) off east antarctica (80-150 °e) during the austral summer of 1995/1996,observation,months,"summer, autumn",1995-1996,Indian Sector of the SO,instantaneous growth rate,measurement,% body length per moult,22,krill males,4.3,parameter,spawning,state_var,tissue_reserves_lipids
"nicol s., kitchener j., king r., hosie g., de la mare w.k. (2000)",population structure and condition of antarctic krill (euphausia superba) off east antarctica (80-150 °e) during the austral summer of 1995/1996,observation,months,"summer, autumn",1995-1996,Indian Sector of the SO,instantaneous growth rate,measurement,% body length per moult,22,krill females,2.2,parameter,spawning,state_var,tissue_reserves_carbs
"nicol s., kitchener j., king r., hosie g., de la mare w.k. (2000)",population structure and condition of antarctic krill (euphausia superba) off east antarctica (80-150 °e) during the austral summer of 1995/1996,observation,months,"summer, autumn",1995-1996,Indian Sector of the SO,instantaneous growth rate,measurement,% body length per moult,22,krill females,2.2,parameter,spawning,state_var,tissue_reserves_proteins
"nicol s., kitchener j., king r., hosie g., de la mare w.k. (2000)",population structure and condition of antarctic krill (euphausia superba) off east antarctica (80-150 °e) during the austral summer of 1995/1996,observation,months,"summer, autumn",1995-1996,Indian Sector of the SO,instantaneous growth rate,measurement,% body length per moult,22,krill females,2.2,parameter,spawning,state_var,tissue_reserves_lipids
Ruck et al. (2014),Regional differences in quality of krill and fish as prey along the Western Antarctic Peninsula,observation,years,summer,2009-2011,Western Antarctic Peninsula,"nitrogen content with length, juveniles",linear regression,NA,28,juvenile,N=-0.001 x TL + 0.12,parameter,spawning,state_var,tissue_reserves_proteins
Ruck et al. (2014),Regional differences in quality of krill and fish as prey along the Western Antarctic Peninsula,observation,years,summer,2009-2011,Western Antarctic Peninsula,"carbon content with length, juveniles",linear regression,NA,28,juvenile,NA,parameter,spawning,state_var,tissue_reserves_carbs
Ruck et al. (2014),Regional differences in quality of krill and fish as prey along the Western Antarctic Peninsula,observation,years,summer,2009-2011,Western Antarctic Peninsula,"neutral lipids with length, juveniles",linear regression,NA,39,juvenile,Neutral Lip = 0.75 x TL - 9.91,parameter,spawning,state_var,tissue_reserves_lipids
Ruck et al. (2014),Regional differences in quality of krill and fish as prey along the Western Antarctic Peninsula,observation,years,summer,2009-2011,Western Antarctic Peninsula,"polar lipids with length, juveniles",linear regression,NA,39,juvenile,Polar Lip = 0.8 x TL - 6.26,parameter,spawning,state_var,tissue_reserves_lipids
Ruck et al. (2014),Regional differences in quality of krill and fish as prey along the Western Antarctic Peninsula,observation,years,summer,2009-2011,Western Antarctic Peninsula,"total lipids with length, juveniles",linear regression,NA,39,juvenile,Total Lip = 1.46 x TL - 12.97,parameter,spawning,state_var,tissue_reserves_lipids
Ruck et al. (2014),Regional differences in quality of krill and fish as prey along the Western Antarctic Peninsula,observation,years,summer,2009-2011,Western Antarctic Peninsula,total lipid content with latitude,linear regression,NA,39,NA,Total Lip = 2.83 x Latitude - 156.06,parameter,spawning,state_var,tissue_reserves_lipids
Price et al. 1988,omnivorous feeding behavior of the antarctic krill euphausia superba,observation,months,summer,1985-1986,Antarctic Peninsula,Linear regresssion intercept: weight-specific chl clearance rate (mL mg DW ind.^-1 h ^-1) vs. chl concentration,Linear regression on experimental data,mL mg DW ind.^-1 h ^-1,17,adult,1.25,parameter,spawning,function,ingestion
Price et al. 1988,omnivorous feeding behavior of the antarctic krill euphausia superba,observation,months,summer,1985-1986,Antarctic Peninsula,Linear regresssion slope: weight-specific chl clearance rate (mL mg DW ind.^-1 h ^-1) vs. chl concentration,Linear regression on experimental data,NA,17,adult,0.12,parameter,spawning,function,ingestion
Price et al. 1988,omnivorous feeding behavior of the antarctic krill euphausia superba,observation,months,summer,1985-1986,Antarctic Peninsula,Linear regresssion intercept: chl ingestion rate (microg chl ind.^-1 h ^-1) vs. chl concentration,Linear regression on experimental data,microg chl ind.^-1 h ^-1,17,adult,-0.3,parameter,spawning,function,ingestion
Price et al. 1988,omnivorous feeding behavior of the antarctic krill euphausia superba,observation,months,summer,1985-1986,Antarctic Peninsula,Linear regresssion slope: chl ingestion rate (microg chl ind.^-1 h ^-1) vs. chl concentration,Linear regression on experimental data,NA,17,adult,0.45,parameter,spawning,function,ingestion
Meyer et al. (2010),"seasonal variation in body composition, metabolic activity, feeding, and growth of adult krill euphausia superba in the lazarev sea",hybrid,months,"spring, summer",2005-2006,Lazarev Sea,daily C ration: food availability (linear regression),RMT net sampling,% body C d-1: mg C m-3,7,adult,y = 0.013x – 0.623,parameter,spawning,function,assimilation
Meyer et al. (2010),"seasonal variation in body composition, metabolic activity, feeding, and growth of adult krill euphausia superba in the lazarev sea",hybrid,months,autumn,2004,Lazarev Sea,daily C ration: food availability (linear regression),RMT net sampling,% body C d-1: mg C m-3,9,adult,y = 0.003x – 0.104,parameter,spawning,function,assimilation
Meyer et al. (2010),"seasonal variation in body composition, metabolic activity, feeding, and growth of adult krill euphausia superba in the lazarev sea",hybrid,months,winter,2006,Lazarev Sea,daily C ration: food availability (linear regression),RMT net sampling,% body C d-1: mg C m-3,10,adult,y = 0.002x  + 0.032,parameter,spawning,function,assimilation
Zhu et al. (2017),inferring trophic variation for antarctic krill (euphausia superba) in the antarctic peninsula from the austral fall to early winter using stable isotope analysis,hybrid,years,autumn,2012-2015,Antarctic Peninsula,slope coefficient,exponential regression function: Wet weight ~ Total length,NA,52,adult,0.00000067534,parameter,spawning,state_var,tissue_reserves_carbs
Zhu et al. (2017),inferring trophic variation for antarctic krill (euphausia superba) in the antarctic peninsula from the austral fall to early winter using stable isotope analysis,hybrid,years,autumn,2012-2015,Antarctic Peninsula,slope coefficient,exponential regression function: Wet weight ~ Total length,NA,52,adult,0.00000067534,parameter,spawning,state_var,tissue_reserves_proteins
Zhu et al. (2017),inferring trophic variation for antarctic krill (euphausia superba) in the antarctic peninsula from the austral fall to early winter using stable isotope analysis,hybrid,years,autumn,2012-2015,Antarctic Peninsula,slope coefficient,exponential regression function: Wet weight ~ Total length,NA,52,adult,0.00000067534,parameter,spawning,state_var,tissue_reserves_lipids
Zhu et al. (2017),inferring trophic variation for antarctic krill (euphausia superba) in the antarctic peninsula from the austral fall to early winter using stable isotope analysis,hybrid,years,autumn,2012-2015,Antarctic Peninsula,exponent,exponential regression function: Wet weight ~ Total length,NA,52,adult,3.5654,parameter,spawning,state_var,tissue_reserves_carbs
Zhu et al. (2017),inferring trophic variation for antarctic krill (euphausia superba) in the antarctic peninsula from the austral fall to early winter using stable isotope analysis,hybrid,years,autumn,2012-2015,Antarctic Peninsula,exponent,exponential regression function: Wet weight ~ Total length,NA,52,adult,3.5654,parameter,spawning,state_var,tissue_reserves_proteins
Zhu et al. (2017),inferring trophic variation for antarctic krill (euphausia superba) in the antarctic peninsula from the austral fall to early winter using stable isotope analysis,hybrid,years,autumn,2012-2015,Antarctic Peninsula,exponent,exponential regression function: Wet weight ~ Total length,NA,52,adult,3.5654,parameter,spawning,state_var,tissue_reserves_lipids
Atkinson et al. (2002),feeding and energy budgets of antarctic krill euphausia superba at the onset of winter - ii. juveniles and adults,observation,days,"autumn, winter",1999,Lazarev Sea,dry mass to length regression,Bongo net,NA,31,"juvenile, adult","log10(DM) = 3.25 * log10(length, mm) - 3.18",parameter,spawning,state_var,tissue_reserves_carbs
Atkinson et al. (2002),feeding and energy budgets of antarctic krill euphausia superba at the onset of winter - ii. juveniles and adults,observation,days,"autumn, winter",1999,Lazarev Sea,dry mass to length regression,Bongo net,NA,31,"juvenile, adult","log10(DM) = 3.25 * log10(length, mm) - 3.18",parameter,spawning,state_var,tissue_reserves_proteins
Atkinson et al. (2002),feeding and energy budgets of antarctic krill euphausia superba at the onset of winter - ii. juveniles and adults,observation,days,"autumn, winter",1999,Lazarev Sea,dry mass to length regression,Bongo net,NA,31,"juvenile, adult","log10(DM) = 3.25 * log10(length, mm) - 3.18",parameter,spawning,state_var,tissue_reserves_lipids
"Groeneveld, J. et al. (2015)",how biological clocks and changing environmental conditions determine local population growth and species distribution in antarctic krill (euphausia superba): a conceptual model,model,years,NA,NA,NA,metabolicSwitchingDayLength,mechanistic model,hours,NA,"larvae, juveniles, adults",12,parameter,spawning,function,maintenance _respiration
"Groeneveld, J. et al. (2015)",how biological clocks and changing environmental conditions determine local population growth and species distribution in antarctic krill (euphausia superba): a conceptual model,model,years,NA,NA,NA,halfSaturationFoodDensity,mechanistic model,NA,NA,"larvae, juveniles, adults",1,parameter,spawning,function,ingestion
"Groeneveld, J. et al. (2015)",how biological clocks and changing environmental conditions determine local population growth and species distribution in antarctic krill (euphausia superba): a conceptual model,model,years,NA,NA,NA,dailyBertalanffyGrowthRate,mechanistic model,mm d-1,NA,"larvae, juveniles, adults",0.03,parameter,spawning,state_var,tissue_reserves_carbs
"Groeneveld, J. et al. (2015)",how biological clocks and changing environmental conditions determine local population growth and species distribution in antarctic krill (euphausia superba): a conceptual model,model,years,NA,NA,NA,dailyBertalanffyGrowthRate,mechanistic model,mm d-1,NA,"larvae, juveniles, adults",0.03,parameter,spawning,state_var,tissue_reserves_proteins
