author,title,study_type,study_duration,season,study_years,location,parameter_name,parameter_origin,parameter_unit,sample_size,parameter_lifestage,parameter_value,informationCategory,submechanism,type,name
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,winter,NA,South Georgia,protozoan in krill stomach,measurement,%,22,NA,7,correlation,overwintering,function,assimilation
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,winter,NA,Bransfield Strait,protozoan in krill stomach,measurement,%,19,NA,87,correlation,overwintering,function,ingestion
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,winter,NA,Bransfield Strait,protozoan in krill stomach,measurement,%,19,NA,87,correlation,overwintering,function,assimilation
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,winter,NA,Lazarev Sea,metazoan in krill stomach,measurement,%,26,NA,32,correlation,overwintering,function,ingestion
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,winter,NA,Lazarev Sea,metazoan in krill stomach,measurement,%,26,NA,32,correlation,overwintering,function,assimilation
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,winter,NA,South Georgia,metazoan in krill stomach,measurement,%,22,NA,10,correlation,overwintering,function,ingestion
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,winter,NA,South Georgia,metazoan in krill stomach,measurement,%,22,NA,10,correlation,overwintering,function,assimilation
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,winter,NA,Bransfield Strait,metazoan in krill stomach,measurement,%,19,NA,4,correlation,overwintering,function,ingestion
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,winter,NA,Bransfield Strait,metazoan in krill stomach,measurement,%,19,NA,4,correlation,overwintering,function,assimilation
Zhou et al (1994),adcp measurements of the distribution and abundance of euphausiids near the antarctic peninsula in winter,hybrid,months,winter,1992,"Gerlache Strait, Antarctic Peninsula",exponential regression: wet weight to body length,derived from observations (MOCNESS sampling),g,37,NA,NA,parameter,overwintering,state_var,tissue_reserves_carbs
