author,title,study_type,study_duration,season,study_years,location,parameter_name,parameter_origin,parameter_unit,sample_size,parameter_lifestage,parameter_value,informationCategory,submechanism,type,name
"Frazer, T. K (2002)","energetic demands of larval krill, euphausia superba, in winter",observation,months,winter,1993,Antarctic Peninsula,carbonMetabolismFed,conversion,gC gBodyC-1 d-1,NA,larvae,1.8,"parameter, validation",overwintering,function,maintenance _respiration
"Frazer, T. K (2002)","energetic demands of larval krill, euphausia superba, in winter",observation,months,winter,1993,Antarctic Peninsula,carbonMetabolismStarved,conversion,gC gBodyC-1 d-1,NA,larvae,0.9,"parameter, validation",overwintering,function,maintenance _respiration
"Frazer, T. K (2002)","energetic demands of larval krill, euphausia superba, in winter",observation,months,winter,1993,Antarctic Peninsula,carbonMetabolismStarved,conversion,gC gBodyC-1 d-1,NA,larvae,0.9,"parameter, validation",overwintering,function,maintenance _respiration
Wickham and Berninger (2007),"krill larvae, copepods and the microbial food web: interactions during the antarctic fall",observation,weeks,autumn,2001,Bellinghausen Sea,grazingFurcilia:Chla,observation,NA,8,larvae,NA,correlation,overwintering,function,ingestion
Wickham and Berninger (2007),"krill larvae, copepods and the microbial food web: interactions during the antarctic fall",observation,weeks,autumn,2001,Bellinghausen Sea,grazingFurcilia:Chla,observation,NA,8,larvae,NA,correlation,overwintering,function,assimilation
Wickham and Berninger (2007),"krill larvae, copepods and the microbial food web: interactions during the antarctic fall",observation,weeks,autumn,2001,Bellinghausen Sea,grazingFurcilia:Dinoflagellates,observation,NA,8,larvae,NA,correlation,overwintering,function,ingestion
Wickham and Berninger (2007),"krill larvae, copepods and the microbial food web: interactions during the antarctic fall",observation,weeks,autumn,2001,Bellinghausen Sea,grazingFurcilia:Dinoflagellates,observation,NA,8,larvae,NA,correlation,overwintering,function,assimilation
Wickham and Berninger (2007),"krill larvae, copepods and the microbial food web: interactions during the antarctic fall",observation,weeks,autumn,2001,Bellinghausen Sea,grazingFurcilia:Ciliates,observation,NA,8,larvae,NA,correlation,overwintering,function,ingestion
Wickham and Berninger (2007),"krill larvae, copepods and the microbial food web: interactions during the antarctic fall",observation,weeks,autumn,2001,Bellinghausen Sea,grazingFurcilia:Ciliates,observation,NA,8,larvae,NA,correlation,overwintering,function,assimilation
Wickham and Berninger (2007),"krill larvae, copepods and the microbial food web: interactions during the antarctic fall",observation,weeks,autumn,2001,Bellinghausen Sea,grazingFurcilia:Bacteria,observation,NA,8,larvae,NA,correlation,overwintering,function,ingestion
Wickham and Berninger (2007),"krill larvae, copepods and the microbial food web: interactions during the antarctic fall",observation,weeks,autumn,2001,Bellinghausen Sea,grazingFurcilia:Bacteria,observation,NA,8,larvae,NA,correlation,overwintering,function,assimilation
