author,title,study_type,study_duration,season,study_years,location,parameter_name,parameter_origin,parameter_unit,sample_size,parameter_lifestage,parameter_value,informationCategory,submechanism,type,name,enviro_vars
Horing et al. 2014,"light regime affects the seasonal cycle of antarctic krill (euphausia superba): impacts on growth, feeding, lipid metabolism, and maturity",hybrid,years,NA,2013-2015,NA,critical photoperiod (when the probability to be fully mature is 50%) in natural light conditions at 52°S,binomial generalized linear mixed model,hours,NA,adult,12.5,"parameter, validation",spawning,state_var,gonads_development,NA
Horing et al. 2014,"light regime affects the seasonal cycle of antarctic krill (euphausia superba): impacts on growth, feeding, lipid metabolism, and maturity",hybrid,years,NA,2013-2015,NA,critical photoperiod (when the probability to be fully mature is 50%) in natural light conditions at 66°S,binomial generalized linear mixed model,hours,NA,adult,14.76,"parameter, validation",spawning,state_var,gonads_development,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Antarctic Peninsula,lipid mass,measurement,mg,7,adult,16.2,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Antarctic Peninsula,% lipid of DM,measurement,%,7,adult,9.6,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Antarctic Peninsula,lipid mass,measurement,mg,6,adult,12,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Antarctic Peninsula,% lipid of DM,measurement,%,6,adult,7.1,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Antarctic Peninsula,lipid mass,measurement,mg,2,adult,27.2,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Antarctic Peninsula,% lipid of DM,measurement,%,2,adult,16.5,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Lazarev Sea,lipid mass,measurement,mg,20,adult,10.9,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Lazarev Sea,% lipid of DM,measurement,%,20,adult,18.9,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Lazarev Sea,lipid mass,measurement,mg,9,adult,13.7,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Lazarev Sea,% lipid of DM,measurement,%,9,adult,20.6,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Weddell Sea,lipid mass,measurement,mg,46,adult,9.8,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Weddell Sea,% lipid of DM,measurement,%,46,adult,10.4,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Weddell Sea,lipid mass,measurement,mg,NA,adult,15,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Weddell Sea,% lipid of DM,measurement,%,NA,adult,11,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Weddell Sea,lipid mass,measurement,mg,11,adult,53.8,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Weddell Sea,% lipid of DM,measurement,%,11,adult,30.9,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Weddell Sea,lipid mass,measurement,mg,2,adult,24.7,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Weddell Sea,% lipid of DM,measurement,%,2,adult,25.2,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
