author,title,study_type,study_duration,season,study_years,location,parameter_name,parameter_origin,parameter_unit,sample_size,parameter_lifestage,parameter_value,informationCategory,submechanism,type,name,enviro_vars
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate40mmAprFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,-0.003,"parameter, validation",spawning,function,assimilation,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate40mmAprFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,-0.003,"parameter, validation",spawning,function,maintenance _respiration,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate40mmAprFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,-0.003,"parameter, validation",spawning,function,ingestion,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate40mmAprFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,-0.003,"parameter, validation",spawning,function,maintenance _respiration,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate40mmAprFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,-0.003,"parameter, validation",spawning,function,assimilation,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmDecMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.05,"parameter, validation",spawning,function,ingestion,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmDecMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.05,"parameter, validation",spawning,function,assimilation,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmDecMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.05,"parameter, validation",spawning,function,maintenance _respiration,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmDecMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.05,"parameter, validation",spawning,function,ingestion,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmDecMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.05,"parameter, validation",spawning,function,maintenance _respiration,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmDecMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.05,"parameter, validation",spawning,function,assimilation,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmJanMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.089,"parameter, validation",spawning,function,ingestion,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmJanMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.089,"parameter, validation",spawning,function,assimilation,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmJanMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.089,"parameter, validation",spawning,function,maintenance _respiration,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmJanMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.089,"parameter, validation",spawning,function,ingestion,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmJanMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.089,"parameter, validation",spawning,function,maintenance _respiration,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmJanMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.089,"parameter, validation",spawning,function,assimilation,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmFebMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.071,"parameter, validation",spawning,function,ingestion,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmFebMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.071,"parameter, validation",spawning,function,assimilation,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmFebMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.071,"parameter, validation",spawning,function,maintenance _respiration,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmFebMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.071,"parameter, validation",spawning,function,ingestion,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmFebMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.071,"parameter, validation",spawning,function,maintenance _respiration,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmFebMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.071,"parameter, validation",spawning,function,assimilation,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate50mmMarMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.025,"parameter, validation",spawning,function,ingestion,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate50mmMarMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.025,"parameter, validation",spawning,function,assimilation,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate50mmMarMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.025,"parameter, validation",spawning,function,maintenance _respiration,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate50mmMarMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.025,"parameter, validation",spawning,function,ingestion,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate50mmMarMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.025,"parameter, validation",spawning,function,maintenance _respiration,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate50mmMarMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.025,"parameter, validation",spawning,function,assimilation,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate50mmAprMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.01,"parameter, validation",spawning,function,ingestion,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate50mmAprMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.01,"parameter, validation",spawning,function,assimilation,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate50mmAprMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.01,"parameter, validation",spawning,function,maintenance _respiration,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate50mmAprMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.01,"parameter, validation",spawning,function,ingestion,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate50mmAprMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.01,"parameter, validation",spawning,function,maintenance _respiration,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate50mmAprMale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.01,"parameter, validation",spawning,function,assimilation,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmDecFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.083,"parameter, validation",spawning,function,ingestion,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmDecFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.083,"parameter, validation",spawning,function,assimilation,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmDecFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.083,"parameter, validation",spawning,function,maintenance _respiration,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmDecFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.083,"parameter, validation",spawning,function,ingestion,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmDecFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.083,"parameter, validation",spawning,function,maintenance _respiration,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmDecFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.083,"parameter, validation",spawning,function,assimilation,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmJanFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.015,"parameter, validation",spawning,function,ingestion,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmJanFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.015,"parameter, validation",spawning,function,assimilation,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmJanFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.015,"parameter, validation",spawning,function,maintenance _respiration,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmJanFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.015,"parameter, validation",spawning,function,ingestion,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmJanFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.015,"parameter, validation",spawning,function,maintenance _respiration,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmJanFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.015,"parameter, validation",spawning,function,assimilation,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmFebFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.015,"parameter, validation",spawning,function,ingestion,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmFebFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.015,"parameter, validation",spawning,function,assimilation,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmFebFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.015,"parameter, validation",spawning,function,maintenance _respiration,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmFebFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.015,"parameter, validation",spawning,function,ingestion,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmFebFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.015,"parameter, validation",spawning,function,maintenance _respiration,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,summer,1993-2003,Indian Sector,dailyGrowthRate50mmFebFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,0.015,"parameter, validation",spawning,function,assimilation,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate50mmMarFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,-0.006,"parameter, validation",spawning,function,ingestion,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate50mmMarFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,-0.006,"parameter, validation",spawning,function,assimilation,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate50mmMarFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,-0.006,"parameter, validation",spawning,function,maintenance _respiration,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate50mmMarFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,-0.006,"parameter, validation",spawning,function,ingestion,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate50mmMarFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,-0.006,"parameter, validation",spawning,function,maintenance _respiration,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate50mmMarFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,-0.006,"parameter, validation",spawning,function,assimilation,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate50mmAprFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,-0.014,"parameter, validation",spawning,function,ingestion,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate50mmAprFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,-0.014,"parameter, validation",spawning,function,assimilation,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate50mmAprFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,-0.014,"parameter, validation",spawning,function,maintenance _respiration,temperature
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate50mmAprFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,-0.014,"parameter, validation",spawning,function,ingestion,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate50mmAprFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,-0.014,"parameter, validation",spawning,function,maintenance _respiration,photoperiod
Kawaguchi et al. (2006),"modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",hybrid,months,autumn,1993-2003,Indian Sector,dailyGrowthRate50mmAprFemale,fittedSplineModel,mm d-1,1620 (sum of all stages),adult,-0.014,"parameter, validation",spawning,function,assimilation,photoperiod
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,2005,Lazarev Sea,fatty acid 16:4(n-1) (diatom indicating FA),measurement,µg / [mg dry mass],NA,NA,0.05,validation,spawning,state_var,tissue_reserves_lipids,NA
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,2005,Lazarev Sea,fatty acid 16:4(n-1) (diatom indicating FA),measurement,µg / [mg dry mass],NA,NA,0.05,validation,spawning,function,assimilation,fattyacidcompositionfood
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,autumn,2004,Lazarev Sea,fatty acid 16:4(n-1) (diatom indicating FA),measurement,µg / [mg dry mass],NA,NA,0.2,validation,spawning,state_var,tissue_reserves_lipids,NA
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,autumn,2004,Lazarev Sea,fatty acid 16:4(n-1) (diatom indicating FA),measurement,µg / [mg dry mass],NA,NA,0.2,validation,spawning,function,assimilation,fattyacidcompositionfood
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,2002-2006,South Georgia,fatty acid 16:4(n-1) (diatom indicating FA),measurement,µg / [mg dry mass],NA,NA,0.4,validation,spawning,state_var,tissue_reserves_lipids,NA
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,2002-2006,South Georgia,fatty acid 16:4(n-1) (diatom indicating FA),measurement,µg / [mg dry mass],NA,NA,0.4,validation,spawning,function,assimilation,fattyacidcompositionfood
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,autumn,"2004, 2007",South Georgia,fatty acid 16:4(n-1) (diatom indicating FA),measurement,µg / [mg dry mass],NA,NA,0.5,validation,spawning,state_var,tissue_reserves_lipids,NA
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,autumn,"2004, 2007",South Georgia,fatty acid 16:4(n-1) (diatom indicating FA),measurement,µg / [mg dry mass],NA,NA,0.5,validation,spawning,function,assimilation,fattyacidcompositionfood
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,2006,Scotia Sea,fatty acid 16:4(n-1) (diatom indicating FA),measurement,µg / [mg dry mass],NA,NA,0.1,validation,spawning,state_var,tissue_reserves_lipids,NA
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,2006,Scotia Sea,fatty acid 16:4(n-1) (diatom indicating FA),measurement,µg / [mg dry mass],NA,NA,0.1,validation,spawning,function,assimilation,fattyacidcompositionfood
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,2003,Scotia Sea,fatty acid 16:4(n-1) (diatom indicating FA),measurement,µg / [mg dry mass],NA,NA,0.5,validation,spawning,state_var,tissue_reserves_lipids,NA
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,2003,Scotia Sea,fatty acid 16:4(n-1) (diatom indicating FA),measurement,µg / [mg dry mass],NA,NA,0.5,validation,spawning,function,assimilation,fattyacidcompositionfood
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,2005,Lazarev Sea,fatty acid 18:4(n-3) (flagellate indicating FA),measurement,µg / [mg dry mass],NA,NA,0.2,validation,spawning,state_var,tissue_reserves_lipids,NA
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,2005,Lazarev Sea,fatty acid 18:4(n-3) (flagellate indicating FA),measurement,µg / [mg dry mass],NA,NA,0.2,validation,spawning,function,assimilation,fattyacidcompositionfood
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,autumn,2004,Lazarev Sea,fatty acid 18:4(n-3) (flagellate indicating FA),measurement,µg / [mg dry mass],NA,NA,2.2,validation,spawning,state_var,tissue_reserves_lipids,NA
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,autumn,2004,Lazarev Sea,fatty acid 18:4(n-3) (flagellate indicating FA),measurement,µg / [mg dry mass],NA,NA,2.2,validation,spawning,function,assimilation,fattyacidcompositionfood
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,2002-2006,South Georgia,fatty acid 18:4(n-3) (flagellate indicating FA),measurement,µg / [mg dry mass],NA,NA,1.1,validation,spawning,state_var,tissue_reserves_lipids,NA
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,2002-2006,South Georgia,fatty acid 18:4(n-3) (flagellate indicating FA),measurement,µg / [mg dry mass],NA,NA,1.1,validation,spawning,function,assimilation,fattyacidcompositionfood
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,autumn,"2004, 2007",South Georgia,fatty acid 18:4(n-3) (flagellate indicating FA),measurement,µg / [mg dry mass],NA,NA,1.7,validation,spawning,state_var,tissue_reserves_lipids,NA
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,autumn,"2004, 2007",South Georgia,fatty acid 18:4(n-3) (flagellate indicating FA),measurement,µg / [mg dry mass],NA,NA,1.7,validation,spawning,function,assimilation,fattyacidcompositionfood
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,2006,Scotia Sea,fatty acid 18:4(n-3) (flagellate indicating FA),measurement,µg / [mg dry mass],NA,NA,0.5,validation,spawning,state_var,tissue_reserves_lipids,NA
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,2006,Scotia Sea,fatty acid 18:4(n-3) (flagellate indicating FA),measurement,µg / [mg dry mass],NA,NA,0.5,validation,spawning,function,assimilation,fattyacidcompositionfood
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,2003,Scotia Sea,fatty acid 18:4(n-3) (flagellate indicating FA),measurement,µg / [mg dry mass],NA,NA,2.2,validation,spawning,state_var,tissue_reserves_lipids,NA
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,2003,Scotia Sea,fatty acid 18:4(n-3) (flagellate indicating FA),measurement,µg / [mg dry mass],NA,NA,2.2,validation,spawning,function,assimilation,fattyacidcompositionfood
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,2005,Lazarev Sea,fatty acid 20:1+22:1 isomers (copepod indicating FA),measurement,µg / [mg dry mass],NA,NA,0.2,validation,spawning,state_var,tissue_reserves_lipids,NA
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,2005,Lazarev Sea,fatty acid 20:1+22:1 isomers (copepod indicating FA),measurement,µg / [mg dry mass],NA,NA,0.2,validation,spawning,function,assimilation,POC
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,autumn,2004,Lazarev Sea,fatty acid 20:1+22:1 isomers (copepod indicating FA),measurement,µg / [mg dry mass],NA,NA,1.4,validation,spawning,state_var,tissue_reserves_lipids,NA
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,autumn,2004,Lazarev Sea,fatty acid 20:1+22:1 isomers (copepod indicating FA),measurement,µg / [mg dry mass],NA,NA,1.4,validation,spawning,function,assimilation,POC
